intercept,long,lat,age,TLA,rooms,lotsize,syear1994,syear1995,syear1996,syear1997,syear1998,ages_sq,log_price
1,51.7734109858896,21.721771989928,0.48,7.09257371597468,5,8.59415423255237,0,0,1,0,0,0.2304,11.385092093460344
1,51.7241444806477,21.7232753927523,0.39,7.21890970761906,6,9.04782144247841,0,0,0,0,0,0.1521,11.26446410567173
1,51.776617545435,21.7245124874746,0.48,7.08002649992259,5,8.8246778911642,1,0,0,0,0,0.2304,11.184421397998193
1,51.7611187791709,21.7248546157286,0.51,7.24494154633701,5,8.96187901267768,0,1,0,0,0,0.2601,11.289781913656018
1,51.759683072324805,21.7261371055843,0.52,7.09174211509515,7,8.96187901267768,0,0,0,0,1,0.2704,11.407564949312402
1,51.7731678794025,21.727539345922498,0.34,6.84587987526405,4,8.99961934066053,0,0,1,0,0,0.1156,11.137067701614722
1,51.749465578791096,21.728418911098903,0.49,7.13886699994552,6,9.10497985631836,0,0,0,0,1,0.2401,10.795485591841238
1,51.7803116145699,21.7290912704702,0.45,7.08422642209792,5,8.68270762989381,0,0,0,0,1,0.2025,11.326595886778735
1,51.750596404422204,21.7296500752881,0.21,7.36770857237437,7,8.90923527919226,0,0,1,0,0,0.0441,11.512925464970229
1,51.679350922853,21.731073102062503,0.42,6.88243747099785,5,8.88183630500415,0,0,1,0,0,0.1764,11.080602902692181
1,51.769742991532404,21.730543726481898,0.4,7.54960916515453,5,8.59415423255237,0,0,0,0,0,0.16,11.26318123185884
1,51.7678283347635,21.7322203740338,0.63,6.79122146272619,5,9.28730141311231,0,0,1,0,0,0.3969,10.858998997563564
1,51.7598195747512,21.7337661642375,0.29,6.91572344863131,5,8.74830491237962,0,0,0,0,0,0.0841,11.127262984158243
1,51.7796603200769,21.7356185269653,0.69,7.48773376143644,7,9.19013766465866,0,0,0,1,0,0.4761,11.407564949312402
1,51.7727366415378,21.7358301536268,0.74,7.11558212618445,6,8.59415423255237,0,0,0,0,1,0.5476,11.5376180775606
1,51.7763464592512,21.7381218001833,0.49,6.91671502035361,5,8.59415423255237,0,0,0,0,0,0.2401,10.799575577092764
1,51.77543036017,21.738920773281702,0.44,6.5792512120101,4,8.59415423255237,1,0,0,0,0,0.1936,11.145478424049585
1,51.7810047686216,21.740268321364802,0.5,7.22183582528845,6,8.8246778911642,0,0,0,0,0,0.25,11.258033215341438
