long,lat,log_price
508605.945922247,220581.671029609,10.431170293368542
511746.927365233,223493.297044878,10.819778284410283
508113.884843963,215728.749324149,11.59910316121128
506941.119663693,222805.198566381,11.938193200374572
508274.059945793,225483.266473172,10.839580911706463
508080.122956948,225270.120849351,11.144756141605761
515556.171250497,218253.340771619,9.574983485564092
511515.051838678,228299.136643292,11.350406535472453
498101.699938966,208156.815863673,10.51867319162636
511967.637059356,227257.958321389,11.002099841204238
509775.358566496,229309.363979732,11.170435156023453
515486.59834416,218103.980077563,8.942460926820582
491399.230512777,208621.072921766,12.204571519403906
515518.962650077,218679.957165689,10.558413520275876
509578.974877195,218441.658135123,10.221941283654663
501690.052039067,223546.948968231,11.26446410567173
496364.352323871,223128.037791952,11.407564949312402
499297.636448315,224902.217658431,11.797352244701337
497691.385886957,226788.23349904,12.154779351142624
499388.21019476,224888.854531952,12.0015054797889
502583.548438427,226226.967382545,13.005829561148378
506006.446152506,226861.519354983,11.184421397998193
510616.917789177,225095.269950667,10.736396675471232
505882.939472649,215656.324519293,11.55214617812351
497374.325324743,220737.538639061,11.018629143155449
498726.247592656,227406.868605603,12.220961258023925
506781.368034211,228218.773349983,11.119882876860622
508128.737479441,222050.65261693,10.63344870621879
499434.726011848,222860.274413541,12.079374992484215
514185.831975827,224096.41312423,9.798127036878302
504563.027633768,221880.142897593,11.740061037553975
503193.063906802,218838.37426433,10.991207400037814
508982.23985284,222115.437978725,12.367340793126296
512897.228185004,226934.620304062,10.915088464214607
498022.654186829,215694.025521336,11.512925464970229
512707.471808146,226964.446655638,11.092854204472703
502751.967952062,226563.050982605,12.367340793126296
507320.606251345,229504.363941031,11.456355113481834
509081.467122527,226991.631877164,11.320553572322773
503591.638781695,228566.688318961,11.820410164718188
509055.086964696,224606.383793493,10.505067539570582
507984.270832655,226332.445701286,11.418614785498987
511576.246709333,222921.895355834,11.407564949312402
504020.499815759,212740.132145465,11.678439903447801
502192.945651507,221249.769930532,11.082142548877775
509954.048318091,218500.42368287,10.933106969717286
509844.670589464,225871.796001513,10.927035001141991
501128.295515799,222541.22460975,11.603679828238693
507136.594122256,214686.644414936,11.33857207782545
508417.708119783,225089.799356811,11.211820372186306
505888.947927541,213653.384936158,11.215193056664946
510820.37309987,225099.543638362,10.431170293368542
505163.013670913,216414.203177721,11.863582336583399
513311.564375786,223711.483652047,10.165851817003619
508111.600367451,220234.69089565,11.00043178410354
500223.379072882,222762.979142348,11.37366339763672
511895.630492439,227675.4783338,11.184421397998193
509917.300020024,222961.721178501,8.699514748210191
511132.779582087,223787.914976804,8.922658299524402
515340.843083501,217288.631363148,10.736396675471232
508499.37458292,224137.406844194,11.05089000537367
495167.488115911,219044.02876976,12.948009990259552
505702.081584816,228793.21462522,10.789319076925574
511817.977354496,223583.62621034,11.320553572322773
513943.426751012,224671.982329207,10.933106969717286
507679.603923133,220129.537603738,9.210340371976184
512401.887238465,223643.759283073,10.373491181781864
505451.859749574,226877.830360731,11.225243392518447
509355.333514685,218116.889345157,10.714417768752456
508996.280720658,223362.188473171,11.27720313144916
511590.620207752,225941.738538336,10.819778284410283
504805.246094568,229047.851608325,11.002099841204238
504645.244002047,215440.532683391,11.771436160121729
508907.696127525,221816.915345719,11.883799128308773
513429.93113428,224084.503640806,9.629050706834368
506619.437779266,212443.501986132,12.729320789294722
508940.426241933,224639.255252036,10.896739325546411
504719.932120178,227892.873662938,10.968198289528557
513919.918539851,224388.687495641,10.239959789157341
511109.958127365,219451.529198226,9.210340371976184
506181.204623396,228911.744597496,11.225243392518447
504363.887399741,212050.071013694,11.104957226643945
500336.501605244,218598.081710623,10.46310334047155
511420.873507451,218510.941817926,10.349774655164548
508642.403921976,223691.526654008,11.177452728682098
508860.073579187,218046.10978726,10.993731591533722
505923.634783268,228846.544306171,11.030849254490224
513827.236643362,224037.347388306,9.71414138080521
505288.345038334,228565.672731033,11.05089000537367
506630.105174637,228267.148213502,10.968198289528557
501402.99921623,215202.542895166,11.931635799828413
512462.82019144,218477.545297257,9.22029070282935
510171.008339642,219952.688990979,8.229511118964457
508895.297648218,224606.1654642,10.46310334047155
509955.34613221,226659.839318505,11.156250521031495
510363.219633141,225654.441989787,11.231887935237117
509197.727610558,224606.931150762,10.924138299734526
507682.788373184,226629.737574876,11.089805421623343
506275.530859449,220490.624033287,10.968198289528557
503199.694581183,226166.185517403,12.542544882151386
503774.991138219,216352.582894597,11.642812725804651
508195.873870255,216207.103002861,11.156250521031495
510388.47220662,225858.953838357,11.00043178410354
504537.772958498,215319.540480418,11.884489021402711
509217.774841177,222726.844491922,10.545341438708522
505185.707358139,213148.477377423,11.356271654924852
508278.795206193,216740.316415838,10.404262840448617
507278.524459324,225016.841582319,11.429543856031177
505115.153639641,220651.305726814,10.968198289528557
508892.484659189,226558.026798882,11.231887935237117
503423.009997517,227958.446004459,13.060487973686241
502346.777750142,220850.605234333,11.48246625748552
514048.500048532,222687.506374376,8.517193191416238
514443.67017588,224452.696372527,10.203592144986466
511848.046564227,218346.024716977,9.769956159911606
515581.938921931,220922.559253413,9.615805480084347
505015.447921873,227769.702805608,11.703545824578878
498949.909570571,216108.158745103,12.072541252905651
497694.165086554,216048.970479488,12.131106613040261
508005.285289043,226039.715437111,10.757902880692196
507385.856875151,228873.0546408,11.225243392518447
511632.243899615,225681.759386487,10.689669599063263
510525.752454844,225825.159685687,10.714417768752456
506612.084491353,222833.525416297,11.682668239557323
507981.556280688,225875.290135315,10.950806546816688
509463.041285115,223834.643662293,10.896739325546411
506890.360568461,215551.494766627,11.211820372186306
502554.340995092,220207.357750012,11.097410021008562
508032.345426057,226946.755811835,10.976782033219948
504558.300218021,219668.590409555,10.819778284410283
508962.651647368,223762.036272162,10.799575577092764
498733.956578206,222138.904244485,12.24288661865289
504532.49213572,227955.540941396,12.206072645530174
505119.450080703,227200.292889497,11.596347073109301
511253.852107863,226082.803919667,10.341742483467284
510650.07162007,220642.214108666,9.464982590349763
